date,day_label,session_type,player_id,team,duration_min,total_distance_m,high_speed_distance_m,sprint_distance_m,accel_count,decel_count,mean_accel_intensity,mean_decel_intensity,max_speed_kmh,%_max_speed,distance_at_max_speed_m,rpe,hr_mean,hr_zone_1_min,hr_zone_2_min,hr_zone_3_min,hr_zone_4_min,hr_zone_5_min,internal_load_rpe,internal_load_hr
2025-01-06,MD,Match,1,First Team,89,8464.463689721653,685.6776773312762,0.0,8,9,2.62,3.96,32.5,99.7,667.6,5.7,138.6,18,24,23,18,6,507.3,237
2025-01-06,MD,Match,2,First Team,94,5019.650189469037,485.08104488300893,54.7361400140118,8,11,2.91,2.58,31.1,96.0,436.2,8.0,179.8,22,24,25,15,8,752.0,245
2025-01-06,MD,Match,3,First Team,87,7934.274898521248,575.4507960994043,0.0,20,8,3.43,3.04,23.7,73.4,611.0,5.6,166.3,20,20,23,17,7,487.2,232
2025-01-06,MD,Match,4,First Team,90,5469.425129106768,281.3424911108945,122.54898425101935,14,7,3.03,3.38,27.7,81.7,331.6,7.5,140.9,22,24,21,19,4,675.0,229
2025-01-06,MD,Match,5,First Team,94,7496.050835595898,730.6852849990153,0.0,18,8,3.97,3.24,29.4,79.9,557.2,4.2,124.6,22,27,23,20,2,394.8,235
2025-01-06,MD,Match,6,First Team,92,5521.410930496684,329.1558810380681,0.0,8,7,2.68,3.19,27.4,76.3,306.4,5.5,161.4,18,24,23,21,6,506.0,249
2025-01-06,MD,Match,7,First Team,94,6069.454416196672,530.5491249228861,0.0,9,11,3.05,3.19,30.9,92.5,197.7,4.3,162.8,23,19,22,25,5,404.2,252
2025-01-06,MD,Match,8,First Team,94,4590.330519613641,291.31229699199844,47.74597383062238,10,9,3.84,3.39,30.4,90.5,391.3,5.5,125.2,23,23,24,19,5,517.0,242
2025-01-06,MD,Match,9,First Team,84,6714.491982874588,430.99515136465493,153.88504259917602,13,8,2.73,2.87,27.8,74.7,289.1,4.4,130.4,25,18,20,21,0,369.6,205
2025-01-06,MD,Match,10,First Team,93,6134.843004147501,359.1605762071546,175.3799457439157,13,9,2.78,2.99,28.4,82.8,402.0,4.2,126.9,23,20,22,22,6,390.6,247
2025-01-06,MD,Match,11,First Team,89,5183.475700356315,397.207004112701,0.0,10,9,2.88,3.52,33.9,92.9,371.6,5.4,144.7,23,25,18,17,6,480.6,225
2025-01-06,MD,Match,12,First Team,88,7254.59392658556,428.4683113843719,0.0,15,15,3.69,2.8,24.9,75.0,301.1,7.1,159.9,21,20,24,18,5,624.8,230
2025-01-06,MD,Match,13,First Team,96,6387.886940467673,459.6515544013419,122.98979261462196,10,11,3.85,3.08,29.1,86.4,597.0,6.1,127.0,21,19,25,26,5,585.5999999999999,263
2025-01-06,MD,Match,14,First Team,92,7949.172799159427,752.7439702859231,103.60552455734152,10,14,3.35,3.64,33.3,96.2,428.8,7.1,126.6,24,18,20,21,9,653.1999999999999,249
2025-01-06,MD,Match,15,First Team,87,7565.950739567278,465.02277514372565,184.61472671959743,13,11,3.02,2.77,32.8,97.3,536.0,5.0,147.7,21,17,24,20,5,435.0,232
2025-01-06,MD,Match,16,First Team,103,7164.092191907339,607.7481459864799,172.97537747706994,8,12,3.6,3.9,33.3,97.7,441.0,3.6,179.1,28,21,28,20,6,370.8,264
2025-01-06,MD,Match,17,First Team,90,8641.287277706422,687.53340891147,95.87709383424769,10,10,3.88,3.02,26.6,80.4,705.3,5.3,133.5,19,22,21,26,2,477.0,240
2025-01-06,MD,Match,18,First Team,89,6653.598204686983,525.8299904879575,68.2784871038196,14,19,3.12,2.63,33.5,100.0,433.5,6.0,124.0,23,18,24,18,6,534.0,233
2025-01-06,MD,Match,19,First Team,87,6179.711588139412,320.27889970414657,131.60822181500987,11,10,3.34,2.73,23.2,75.3,558.2,7.7,142.4,20,16,17,28,6,669.9,245
2025-01-06,MD,Match,20,First Team,83,8403.517589721192,431.56096196675844,0.0,9,14,3.48,2.86,24.7,73.1,395.2,6.6,171.3,22,18,20,16,7,547.8,217
2025-01-06,MD,Match,21,U23,86,5593.9664766650185,530.4019498653131,0.0,6,12,3.84,3.73,26.2,80.4,269.4,4.9,155.4,19,20,19,22,6,421.40000000000003,234
2025-01-06,MD,Match,22,U23,82,7316.526200803928,645.1734000429756,0.0,17,10,2.9,3.31,28.0,88.9,351.6,3.7,170.1,23,20,17,18,4,303.40000000000003,206
2025-01-06,MD,Match,23,U23,81,7827.795482964251,608.2893773907766,208.17893769135935,9,7,3.81,3.4,29.7,88.1,599.2,3.9,174.9,20,16,17,27,1,315.9,216
2025-01-06,MD,Match,24,U23,83,6477.980370554742,519.2593948068345,0.0,11,9,2.95,3.35,29.6,84.3,495.3,7.7,164.0,17,16,18,27,5,639.1,236
